City,State,Number of Killed,% of killed who carried gun,% of killed who were unarmed,% of killed who were race A,% of killed who were race B,% of killed who were race H,% of killed who were race N,% of killed who were race O,% of killed who had sign of mental illness,% of killed who were male,% of killed who attacked,% of killed whose threat undertermined,% of killed who were fleeing,% of killed whose killer had body camera on,% of killed age 10 and below,% of killed 30 and below,% of killed 50 and below
Soddy-Daisy,TN,2,0.5,0,0,0,0,0,0,0.5,0.5,1,0,1,0,0,0.5,1
Sodus,NY,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Solvang,CA,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
Somerset,PA,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Somerton,AZ,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Somerville,TN,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
South Bend,IN,4,0.25,0,0,0.5,0.25,0,0,0.25,1,0.5,0,0.25,0,0,0.5,1
South El Monte,CA,2,0,0,0.5,0,0.5,0,0,0,1,0.5,0,0.5,0,0,0,1
South Elgin,IL,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
South Gate,CA,4,0.75,0,0,0,1,0,0,0.25,1,1,0,0.5,0,0,0.25,1
South Greensburg,PA,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
South Haven,IN,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
South Knoxville,TN,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
South Lake Tahoe,CA,2,0.5,0.5,0,0.5,0,0,0,0,1,0.5,0,1,0,0,0.5,1
South Los Angeles,CA,2,1,0,0,0.5,0.5,0,0,0,1,1,0,0.5,0,0,1,1
South Milwaukee,WI,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
South Ogden,UT,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
South Salt Lake,UT,2,0.5,0,0,0,1,0,0,0.5,1,0.5,0,0.5,0,0,0,1
South Sioux City,NE,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
South Whitehall Township,PA,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
Southaven,MS,2,1,0,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,1
Southfield,MI,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Southington,OH,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Spalding County,GA,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
Spanaway,WA,2,1,0,0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,1
Spanish Fork,UT,2,0.5,0,0,0,0,0,0,0.5,1,0.5,0,0.5,0.5,0,0.5,1
Spanish Springs,NV,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sparks,MD,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1
Sparks,NV,7,0.571428571,0,0,0.142857143,0.714285714,0.142857143,0,0.285714286,1,0.142857143,0.285714286,0.285714286,0,0,0.285714286,1
Sparta,NC,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Sparta,TN,2,0.5,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0.5,1
Sparta,WI,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
Spartanburg,SC,3,0,0,0,0.666666667,0,0,0,0,1,1,0,0.333333333,0,0,0.666666667,1
Spenard,AK,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Spencer,MA,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Spencer,WV,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Sperry,OK,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
Splendora,TX,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Spokane Valley,WA,2,0.5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.5
Spokane,WA,15,0.466666667,0.133333333,0.066666667,0.066666667,0,0.066666667,0,0.333333333,1,0.533333333,0,0.4,0.333333333,0,0.133333333,0.933333333
Spotsylvania,VA,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
Spring Hill,FL,3,1,0,0,0,0,0,0,0,1,1,0,0.333333333,0,0,0.333333333,0.666666667
Spring Hill,TN,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
Spring Lake,NC,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Spring,TX,2,0.5,0,0,0,0,0,0,0.5,0,1,0,0.5,0.5,0,0,0.5
Springdale,AR,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.666666667,1
Springfield,CO,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Springfield,FL,2,0.5,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,1
Springfield,IL,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1
Springfield,MO,10,0.7,0.1,0,0.1,0,0,0,0.2,1,0.6,0,0.4,0,0,0.3,1
Springfield,OH,2,0.5,0,0,0,0,0,0,0.5,1,0.5,0,0.5,0,0,0.5,1
Springfield,OR,3,0.333333333,0,0,0,0,0,0,0.666666667,0.666666667,0.333333333,0,0.333333333,0,0,0,0.666666667
Springtown,TX,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Springville,IN,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Spruce Pine,NC,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
St Louis,MO,2,0.5,0.5,0,1,0,0,0,0,1,0.5,0,0.5,0,0,0,1
St. Augustine,FL,4,0.5,0.25,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0.5,1
St. Charles County,MO,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
St. Clair County,AL,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
St. Clair Shores,MI,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
St. Clair Township,OH,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
St. Cloud,FL,2,0.5,0,0,0.5,0,0,0,0.5,1,0.5,0,0.5,0,0,0.5,0.5
St. Cloud,MN,2,0.5,0,0,0,0,0,0.5,0,1,0.5,0,0.5,0,0,1,1
St. Croix Falls,WI,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
St. Francis County,AR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
St. Helena Parish,LA,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
St. James,MN,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
St. Joseph County,MI,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
St. Joseph,MI,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
St. Joseph,MO,3,0.666666667,0.333333333,0,0,0,0,0,0,0.666666667,1,0,0.333333333,0,0,0.666666667,1
St. Louis Park,MN,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
St. Louis,MO,32,0.875,0.03125,0,0.8125,0,0,0,0.125,0.875,0.84375,0,0.5,0,0,0.6875,0.9375
St. Martin,MS,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
St. Paul,MN,9,0.666666667,0,0.111111111,0.444444444,0,0.111111111,0.111111111,0.222222222,1,0.666666667,0,0,0.333333333,0,0.666666667,1
St. Petersburg,FL,6,0.833333333,0.166666667,0,0.666666667,0,0,0,0.333333333,1,1,0,0.5,0,0,0.5,1
St. Tammany Parish,LA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Stafford,VA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Stamford,CT,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Standing Rock Reservation,ND,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
Stanfordville,NY,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Stanton,CA,2,0,0,0.5,0,0.5,0,0,0,1,0,1,0.5,0,0,0,0.5
Stanwood,WA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Starke County,IN,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Starke,FL,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
State College,PA,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1
Staten Island,NY,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Statesville,NC,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Stead,NV,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
Sterling,CO,2,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0,0.5,1
Steubenville,OH,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Stewartstown,PA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Stillwater County,MT,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Stillwater,MN,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
Stillwater,OK,2,0.5,0.5,0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,1
Stockbridge,GA,2,1,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0.5
Stockton,CA,13,0.230769231,0,0.230769231,0.384615385,0.076923077,0,0,0.076923077,1,0.769230769,0.076923077,0.230769231,0.153846154,0,0.307692308,0.769230769
Stockton,IL,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Stone County,AR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Stone County,MS,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
Stone Mountain,GA,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Stoneville,NC,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Straban Township,PA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Strasburg,CO,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
Stratford,CT,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Stratford,TX,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1
Strong,AR,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Stroudsburg,PA,2,0.5,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0.5
Struthers,OH,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Studio City,CA,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Stutsman County,ND,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Suffield,CT,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Suffolk,VA,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Sugar Creek,MO,3,0.666666667,0.333333333,0,0,0,0,0,0,1,0.666666667,0,1,0,0,0.333333333,1
Sugar House,UT,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Sugarcreek,OH,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
Sullivan,IN,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sullivan,MO,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Sumas,WA,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Summerlin,NV,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Summerville,SC,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
Sumter,SC,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1
Sun City,AZ,2,1,0,0,0,0.5,0,0,1,1,1,0,0,0,0,0,0
Sun City,SC,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Sunland Park,NM,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Sunnyvale,CA,4,0.25,0,0.25,0.5,0.25,0,0,0.25,1,0.5,0,0,0,0,0.75,1
Sunridge,NV,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Sunrise,FL,2,1,0,0,0,0,0,0,1,0.5,0.5,0.5,0,0,0,0.5,0.5
Sunset,TX,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Superior,MT,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Surfside Beach,SC,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Suring,WI,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Surprise,AZ,2,0,0,0,0,0.5,0,0,0,1,0.5,0,0.5,0.5,0,0.5,0.5
Sussex County,VA,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Swansea,SC,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
Sweetwater,TX,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Sylacauga,AL,2,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0,0,0.5,0.5
Sylmar,CA,2,0,0,0,0,0.5,0,0,1,1,1,0,0,0,0,1,1
Sylvania Township,OH,2,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,1
Sylvania,GA,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1
Sylvester,GA,2,1,0,0,0.5,0,0,0,0,0.5,1,0,1,0,0,0.5,1
Syracuse,NY,5,0.8,0,0,1,0,0,0,0.2,0.8,0.6,0,0,0.4,0,0,0.8
Syracuse,UT,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Tacoma,WA,11,0.636363636,0,0,0.272727273,0.090909091,0.090909091,0,0.181818182,0.909090909,0.636363636,0.090909091,0.090909091,0,0,0.272727273,0.909090909
Tahlequah,OK,5,0.8,0,0,0.2,0,0,0,0.4,1,0.8,0,0.2,0.6,0,0.2,1
Tahoka,TX,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
Talihina,OK,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Talking Rock,GA,2,1,0,0,0.5,0,0,0,0,1,1,0,0,0,0,0,1
Talladega,AL,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Tallahassee,FL,7,0.571428571,0.285714286,0,0.571428571,0,0,0,0,1,0.714285714,0,0.142857143,0,0,0.142857143,0.714285714
Tamarac,FL,2,0,0,0,0.5,0.5,0,0,0.5,1,1,0,0,0,0,0.5,1
Tampa,FL,13,0.461538462,0.153846154,0.076923077,0.538461538,0.076923077,0,0.076923077,0.461538462,1,0.615384615,0,0.307692308,0.076923077,0,0.538461538,1
Tangipahoa Parish,LA,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
Taos,NM,2,0.5,0,0,0,1,0,0,0.5,1,1,0,0.5,0,0,0,1
Tarboro,NC,2,0.5,0,0,0.5,0.5,0,0,0.5,1,0.5,0,0.5,0,0,0,1
Tarpon Springs,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tate County,MS,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Taunton,MA,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1
Taylors,SC,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0.5,1
Taylorsville,UT,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Tehachapi,CA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Tehama County,CA,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Temecula,CA,3,0,0,0,0,0,0,0,0,1,0,0,0.333333333,0,0,0.333333333,1
Tempe,AZ,10,0.2,0.2,0,0.3,0.5,0,0,0.2,0.9,0.5,0,0.5,0.3,0,0.8,1
Temple Hills,MD,2,0.5,0.5,0,0.5,0.5,0,0,0,1,0.5,0,0.5,0,0,0.5,1
Temple Terrace,FL,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1
Temple,TX,3,0.666666667,0.333333333,0,0.333333333,0,0,0,0,1,0.666666667,0.333333333,0.333333333,0,0,0.333333333,0.666666667
Templeton,CA,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Terre Haute,IN,4,0.75,0.25,0,0,0,0,0,0.25,1,0.75,0,0.5,0,0,0.5,1
Terrell,TX,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Terrytown,LA,2,0,0,0,1,0,0,0,0,1,1,0,0.5,0,0,0,1
Tewksbury,MA,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
The Colony,TX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
The Dalles,OR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
The Village,OK,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
The Villages,FL,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Thomas County,GA,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Thomaston,CT,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
Thomasville,GA,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
Thomasville,NC,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Thonotosassa,FL,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Thornton,CO,3,1,0,0,0,0.333333333,0,0,0,1,0.666666667,0,0.333333333,0,0,0,1
Thornton,NH,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Thousand Oaks,CA,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
Three Forks,MT,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Three Points,AZ,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Three Springs,PA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Thurmont,MD,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
Thurston County,WA,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
Tiffin,OH,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Tigard,OR,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Timberlake,NC,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Timberville,VA,2,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1
Tishomingo,OK,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Titusville,FL,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Tiverton,RI,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
Toledo,OH,7,0.571428571,0,0,0.571428571,0,0,0,0.285714286,1,0.857142857,0,0.428571429,0.285714286,0,0.571428571,0.857142857
Tolleson,AZ,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
Tom,OK,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Tomball,TX,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Toms River,NJ,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Tonalea,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
Tonopah,AZ,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Tooele,UT,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Topeka,KS,5,0.4,0,0,0.2,0.2,0.2,0,0,1,0.8,0.2,0.8,0.2,0,0.2,1
Toppenish,WA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Torrance,CA,5,0.2,0,0,0.4,0.4,0,0,0.2,0.6,0.2,0.2,0.4,0,0,0.4,0.8
Treme,LA,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
Tremont,NY,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
Trenton,MI,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Trenton,NJ,3,0.333333333,0,0,0.666666667,0,0,0,0.333333333,1,0.666666667,0,0,0,0,0,1
Trigg County,KY,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Trinidad,CO,3,0.666666667,0,0,0.333333333,0,0,0,0,1,0.666666667,0,0.666666667,0.333333333,0,0.333333333,0.666666667
Trinity,NC,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Trosper,KY,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Trotwood,OH,2,0.5,0,0,0.5,0,0,0,0,1,0.5,0,1,0,0,1,1
Trout Creek,MT,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Troy,MI,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Troy,NY,2,0.5,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Trumann,AR,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Truth or Consequences,NM,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Tualatin,OR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Tucson,AZ,33,0.636363636,0.121212121,0,0.060606061,0.424242424,0,0,0.181818182,0.96969697,0.696969697,0.03030303,0.363636364,0.090909091,0,0.333333333,0.96969697
Tucumcari,NM,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Tukwila,WA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Tulare,CA,2,0.5,0,0,0.5,0,0,0,0.5,1,1,0,1,0,0,0.5,1
Tularosa,NM,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Tullahoma,TN,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Tulsa,OK,27,0.481481481,0.074074074,0.037037037,0.185185185,0.074074074,0.037037037,0,0.222222222,0.962962963,0.703703704,0,0.296296296,0.148148148,0,0.222222222,0.851851852
Tunbridge,VT,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Tupelo,MS,2,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0,0,0.5,1
Turlock,CA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
Tuscaloosa,AL,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Tuscson,AZ,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Tuscumbia,AL,2,1,0,0,0.5,0,0,0,0,1,1,0,0.5,0,0,0,1
Tustin,CA,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1
Twentynine Palms,CA,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Twinsburg,OH,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Two Rivers,WI,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tyler,TX,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Tyrone,GA,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Udall,KS,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Union City,CA,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
Union City,GA,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Union City,PA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Union County,SC,2,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.5,0.5
Union Grove,NC,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Union Township,MI,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Union Township,OH,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Union Township,PA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Uniontown,OH,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
University City,CA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
University City,MO,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Upper Darby,PA,2,0,0,0,0,0,0,0,0.5,1,0.5,0,0.5,0,0,0,0.5
Urbandale,IA,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1
Utica,KY,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
Vacaville,CA,3,0,0,0,0.333333333,0.333333333,0,0,0,1,1,0,1,0.333333333,0,0.333333333,0.666666667
Vadnais Heights,MN,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Valdez,CO,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1
Valdosta,GA,3,0.333333333,0,0,0.333333333,0.333333333,0,0,0.333333333,1,1,0,0.333333333,0.333333333,0,0.666666667,1
Valinda,CA,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1
Vallejo,CA,5,0.2,0.2,0,0.4,0.4,0,0,0.2,1,0.4,0,0.2,0.6,0,0.6,1
Valley Falls,OR,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Valley Head,WV,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Valley View,CA,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
Van Buren,AR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Van Nuys,CA,5,0.2,0,0,0,0.2,0,0,0.2,1,0.4,0.2,0.2,0.2,0,0.8,1
Van Wert,OH,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Vancouver,WA,10,0.3,0,0.1,0,0.2,0,0,0.2,0.9,0.6,0.1,0.4,0,0,0.3,0.9
Vandalia,OH,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Vassalboro,ME,2,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1
Venice,CA,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1
Ventnor,NJ,2,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0.5,0,0.5,1
Ventura,CA,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
Vernon,TX,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Vero Beach,FL,2,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0.5,0.5
Vestavia Hills,AL,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Victoria,TX,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
Victorville,CA,4,0.5,0,0,0.25,0,0,0,0.5,0.5,0.75,0,0,0,0,0.25,0.5
Viera,FL,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Villa Hills,KY,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Villa Park,IL,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
Village of Oak Creek,AZ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Vincennes,IN,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Vineland,MN,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
Vineland,NJ,3,0.333333333,0.666666667,0,1,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,0.333333333,1
Vinita,OK,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Virginia Beach,VA,7,0.571428571,0.142857143,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0.857142857,0.714285714,0.142857143,0.142857143,0,0,0.285714286,1
Virginia,MN,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Visalia,CA,5,0.8,0,0,0,0.4,0,0,0.2,1,0.8,0,0.2,0,0,0.2,1
Vista,CA,2,0,0.5,0,0,1,0,0,0,1,0,1,1,0,0,0.5,1
Volant,PA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
